,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
39,Adam Pavlasek,5.0,9.0,14.0,0.35714285714285715,0.6428571428571429
40,Adam Peterson,0.0,1.0,1.0,0.0,1.0
41,Adolf Musil,0.0,1.0,1.0,0.0,1.0
42,Adolfo Gonzalez,3.0,3.0,6.0,0.5,0.5
43,Adrian Andreev,2.0,6.0,8.0,0.25,0.75
44,Adrian Bohane,0.0,1.0,1.0,0.0,1.0
45,Adrian Cruciat,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
46,Adrian Garcia,9.0,25.0,34.0,0.2647058823529412,0.7352941176470589
47,Adrian Mannarino,215.0,261.0,476.0,0.45168067226890757,0.5483193277310925
48,Adrian Marcu,0.0,2.0,2.0,0.0,1.0
49,Adrian Menendez Maceiras,6.0,18.0,24.0,0.25,0.75
50,Adrian Pena,0.0,1.0,1.0,0.0,1.0
51,Adrian Ungur,6.0,28.0,34.0,0.17647058823529413,0.8235294117647058
52,Adrian Voinea,126.0,168.0,294.0,0.42857142857142855,0.5714285714285714
53,Adriano Panatta,378.0,224.0,602.0,0.627906976744186,0.37209302325581395
54,Adrien Bossel,0.0,2.0,2.0,0.0,1.0
55,Agustin Calleri,202.0,185.0,387.0,0.5219638242894057,0.4780361757105943
56,Agustin Garizzio,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
57,Agustin Moreno,6.0,18.0,24.0,0.25,0.75
58,Agustin Velotti,0.0,4.0,4.0,0.0,1.0
59,Ahmed El Mehelmy,1.0,9.0,10.0,0.1,0.9
60,Ahmet Gencsoy,0.0,1.0,1.0,0.0,1.0
61,Aisam Ul Haq Qureshi,5.0,10.0,15.0,0.3333333333333333,0.6666666666666666
62,Akash Wagh,0.0,1.0,1.0,0.0,1.0
63,Aki Rahunen,27.0,42.0,69.0,0.391304347826087,0.6086956521739131
64,Akifumi Machidori,2.0,3.0,5.0,0.4,0.6
65,Akinori Naguro,2.0,6.0,8.0,0.25,0.75
66,Akira Kawaguchi,0.0,3.0,3.0,0.0,1.0
67,Akira Motomura,0.0,5.0,5.0,0.0,1.0
68,Akira Santillan,2.0,7.0,9.0,0.2222222222222222,0.7777777777777778
69,Akshai Misra,0.0,1.0,1.0,0.0,1.0
70,Al Bunis,0.0,1.0,1.0,0.0,1.0
71,Al Parker,1.0,10.0,11.0,0.09090909090909091,0.9090909090909091
72,Alain Bouteleux,0.0,2.0,2.0,0.0,1.0
73,Alain Brichant,0.0,2.0,2.0,0.0,1.0
74,Alan Chandronnait,0.0,3.0,3.0,0.0,1.0
75,Alan Fawcett,0.0,1.0,1.0,0.0,1.0
76,Alan Fox,9.0,12.0,21.0,0.42857142857142855,0.5714285714285714
77,Alan Frost,0.0,1.0,1.0,0.0,1.0
78,Alan Gooch,0.0,1.0,1.0,0.0,1.0
79,Alan Haswell,0.0,1.0,1.0,0.0,1.0
80,Alan Ho,0.0,1.0,1.0,0.0,1.0
81,Alan Kendal,0.0,2.0,2.0,0.0,1.0
82,Alan Koth,0.0,1.0,1.0,0.0,1.0
83,Alan Mackin,0.0,11.0,11.0,0.0,1.0
84,Alan Mills,0.0,2.0,2.0,0.0,1.0
85,Alan Schwarz,1.0,1.0,2.0,0.5,0.5
86,Alastair Gray,0.0,2.0,2.0,0.0,1.0
87,Albano Olivetti,5.0,9.0,14.0,0.35714285714285715,0.6428571428571429
